Name,Position,Age,Club,Height,Foot,Caps,Goals,MarketValue,Country,Height_m
Adam Gnezda Cerin,Central Midfield,24,Panathinaikos FC,180,right,30,4,3500000,Slovenia,1.8
Miha Zajc,Central Midfield,29,Fenerbahce,178,right,39,8,2400000,Slovenia,1.78
Timi Max Elsnik,Central Midfield,26,NK Olimpija Ljubljana,182,left,14,1,1500000,Slovenia,1.82
Jasmin Kurtic,Central Midfield,35,FC Südtirol,186,right,91,2,500000,Slovenia,1.86
Tomi Horvat,Right Midfield,25,SK Sturm Graz,176,left,6,0,5000000,Slovenia,1.76
Josip Ilicic,Attacking Midfield,36,NK Maribor,190,left,80,17,300000,Slovenia,1.9
Benjamin Verbic,Left Winger,30,Panathinaikos FC,183,right,58,6,2000000,Slovenia,1.83
Benjamin Sesko,Centre-Forward,21,RB Leipzig,195,right,28,11,50000000,Slovenia,1.95
Andraz Sporar,Centre-Forward,30,Panathinaikos FC,186,right,52,11,4000000,Slovenia,1.86
Jan Mlakar,Centre-Forward,25,Pisa Sporting Club,183,right,16,3,2500000,Slovenia,1.83
Zan Vipotnik,Centre-Forward,22,FC Girondins Bordeaux,185,both,9,2,2500000,Slovenia,1.85
Luka Zahovic,Centre-Forward,28,Pogon Szczecin,177,right,15,0,400000,Slovenia,1.77
Aaron Ramsdale,Goalkeeper,26,Arsenal FC,190,right,5,0,25000000,England,1.9
Jordan Pickford,Goalkeeper,30,Everton FC,185,left,61,0,22000000,England,1.85
Dean Henderson,Goalkeeper,27,Crystal Palace,188,right,1,0,12000000,England,1.88
John Stones,Centre-Back,30,Manchester City,188,right,72,3,38000000,England,1.88
Marc Guéhi,Centre-Back,23,Crystal Palace,182,right,11,0,38000000,England,1.82
Ezri Konsa,Centre-Back,26,Aston Villa,183,right,4,0,35000000,England,1.83
Joe Gomez,Centre-Back,27,Liverpool FC,188,right,15,0,28000000,England,1.88
Lewis Dunk,Centre-Back,32,Brighton & Hove Albion,192,right,6,0,12000000,England,1.92
Luke Shaw,Left-Back,28,Manchester United,178,left,31,3,32000000,England,1.78
Trent Alexander-Arnold,Right-Back,25,Liverpool FC,180,right,25,3,70000000,England,1.8
Kyle Walker,Right-Back,34,Manchester City,178,right,83,1,13000000,England,1.78
